,network,iter,epoch,type,loss,accuracy
100,I,2,1,train,0.057097843013549865,0.9894109256125139
101,I,2,2,train,0.05615898711300281,0.9896165411580414
102,I,2,3,train,0.05538382371894267,0.9899249607751704
103,I,2,4,train,0.054581019380538234,0.9898221541544241
104,I,2,5,train,0.053955523275552045,0.9899249606771264
105,I,2,6,train,0.05329892696423828,0.9903361867679358
106,I,2,7,train,0.05274094018437542,0.9903361868169578
107,I,2,8,train,0.0521645541130038,0.9904389933396601
108,I,2,9,train,0.05168352318559789,0.9906446063360428
109,I,2,10,train,0.05113712689718951,0.9906446063360428
110,I,2,11,train,0.05063109630107009,0.9907474129077671
111,I,2,12,train,0.05023757761421485,0.9906446064340868
112,I,2,13,train,0.049814942355965786,0.9908502193324255
113,I,2,14,train,0.049434851124688144,0.9908502194304695
114,I,2,15,train,0.04906059366431525,0.9908502193814475
115,I,2,16,train,0.048692669317706876,0.9908502194794916
116,I,2,17,train,0.048410735988187695,0.9908502194304695
117,I,2,18,train,0.0480730301989973,0.9908502194304695
118,I,2,19,train,0.04776464590950812,0.9908502194304695
119,I,2,20,train,0.04747308589770074,0.9908502194794916
120,I,2,21,train,0.04716998123347153,0.9908502193814475
121,I,2,22,train,0.046977344823389756,0.9908502193814475
122,I,2,23,train,0.04669468087279485,0.9908502182539412
123,I,2,24,train,0.04648237254164582,0.9908502182049191
124,I,2,25,train,0.04624643823846376,0.9908502194794916
125,I,2,26,train,0.04599130160013549,0.9908502193814475
126,I,2,27,train,0.04579156465499818,0.9908502194794916
127,I,2,28,train,0.045644067499759425,0.9908502193814475
128,I,2,29,train,0.045470667496466055,0.990850218106875
129,I,2,30,train,0.04526394936611808,0.9908502182539412
130,I,2,31,train,0.04505329057030434,0.9908502193324255
131,I,2,32,train,0.044910846401966895,0.9908502194304695
132,I,2,33,train,0.04479503092119821,0.9908502194794916
133,I,2,34,train,0.04464356126835342,0.9908502194794916
134,I,2,35,train,0.044437907234797853,0.9908502181558971
135,I,2,36,train,0.04434735600797223,0.9908502194304695
136,I,2,37,train,0.044131341219787866,0.9908502181558971
137,I,2,38,train,0.044093498716750716,0.9908502194304695
138,I,2,39,train,0.043923907358993285,0.9908502194794916
139,I,2,40,train,0.04382945351908505,0.9908502194304695
140,I,2,41,train,0.043733248859567336,0.9908502193814475
141,I,2,42,train,0.043589158155812234,0.9908502182049191
142,I,2,43,train,0.043419519715662956,0.9908502194304695
143,I,2,44,train,0.04345993651685139,0.9908502193814475
144,I,2,45,train,0.04327659766423662,0.9908502193814475
145,I,2,46,train,0.04322171733556946,0.9908502194304695
146,I,2,47,train,0.04309176326937796,0.9908502193324255
147,I,2,48,train,0.043085343566837776,0.9908502194794916
148,I,2,49,train,0.04294885976292316,0.9908502194794916
149,I,2,50,train,0.04287159016888795,0.9908502194794916
150,I,2,1,validation,0.1886198893874353,0.9407955609902974
151,I,2,2,validation,0.19210505491737742,0.9407955609902974
